Target Distance £º50,Step Size:2
1:(x,y) = (1.88615,0.665158)
2:(x,y) = (0.107498,1.5797)
3:(x,y) = (1.92715,2.40967)
4:(x,y) = (1.09486,4.22827)
5:(x,y) = (3.07556,4.50545)
6:(x,y) = (5.07478,4.56129)
7:(x,y) = (3.27625,5.43609)
8:(x,y) = (3.11771,7.42979)
9:(x,y) = (2.98192,5.43441)
10:(x,y) = (2.16002,3.6111)
11:(x,y) = (0.163427,3.49435)
12:(x,y) = (-0.377064,5.41993)
13:(x,y) = (-1.44373,7.11174)
14:(x,y) = (-0.353547,5.43499)
15:(x,y) = (-0.378916,7.43483)
16:(x,y) = (0.468369,9.24649)
17:(x,y) = (1.02475,11.1675)
18:(x,y) = (-0.178805,9.57021)
19:(x,y) = (1.81748,9.44836)
20:(x,y) = (3.73782,8.88953)
21:(x,y) = (4.2083,10.8334)
22:(x,y) = (6.00906,11.7036)
23:(x,y) = (7.72547,12.7302)
24:(x,y) = (8.41929,10.8544)
25:(x,y) = (8.90085,8.91327)
26:(x,y) = (7.6973,7.31593)
27:(x,y) = (9.2412,8.58729)
28:(x,y) = (10.0781,10.4038)
29:(x,y) = (8.87459,8.80643)
30:(x,y) = (8.21779,6.91735)
31:(x,y) = (7.76338,8.86504)
32:(x,y) = (6.4561,7.35144)
33:(x,y) = (7.22205,9.19895)
34:(x,y) = (7.16365,11.1981)
35:(x,y) = (5.43308,10.1955)
36:(x,y) = (7.09017,9.0757)
37:(x,y) = (5.27743,8.23073)
38:(x,y) = (5.23043,6.23128)
39:(x,y) = (4.64728,8.14438)
40:(x,y) = (4.85517,10.1335)
41:(x,y) = (4.74097,12.1303)
42:(x,y) = (4.80448,14.1293)
43:(x,y) = (2.85737,14.5862)
44:(x,y) = (4.84503,14.8079)
45:(x,y) = (5.23987,12.8473)
46:(x,y) = (5.92298,14.727)
47:(x,y) = (5.67602,16.7117)
48:(x,y) = (7.67553,16.7561)
49:(x,y) = (6.84323,18.5747)
50:(x,y) = (6.27101,16.6583)
51:(x,y) = (7.12862,14.8516)
52:(x,y) = (6.29632,16.6701)
53:(x,y) = (4.65503,17.813)
54:(x,y) = (4.4194,19.7991)
55:(x,y) = (6.1474,18.7921)
56:(x,y) = (8.03355,19.4573)
57:(x,y) = (7.54704,17.5174)
58:(x,y) = (8.83307,19.0491)
59:(x,y) = (10.1699,17.5615)
60:(x,y) = (8.26089,16.965)
61:(x,y) = (9.53027,15.4194)
62:(x,y) = (9.07587,17.3671)
63:(x,y) = (9.76969,15.4913)
64:(x,y) = (7.78971,15.7736)
65:(x,y) = (7.78715,13.7736)
66:(x,y) = (9.25073,12.4105)
67:(x,y) = (10.5113,13.9633)
68:(x,y) = (8.51221,14.0242)
69:(x,y) = (9.36982,12.2174)
70:(x,y) = (10.8851,13.5228)
71:(x,y) = (12.6015,14.5494)
72:(x,y) = (13.2113,12.6446)
73:(x,y) = (12.9429,10.6627)
74:(x,y) = (14.6182,11.7551)
75:(x,y) = (16.3682,10.7867)
76:(x,y) = (15.4267,9.02222)
77:(x,y) = (17.4264,8.98918)
78:(x,y) = (19.0835,7.86933)
79:(x,y) = (20.9256,8.64816)
80:(x,y) = (22.9032,8.34958)
81:(x,y) = (20.9248,8.05605)
82:(x,y) = (22.2282,6.53911)
83:(x,y) = (21.9813,8.52381)
84:(x,y) = (22.7367,10.3757)
85:(x,y) = (24.7322,10.5089)
86:(x,y) = (26.2549,9.2122)
87:(x,y) = (28.2505,9.34544)
88:(x,y) = (26.3855,8.62311)
89:(x,y) = (28.3026,9.19288)
90:(x,y) = (28.4219,11.1893)
91:(x,y) = (30.3008,10.5038)
92:(x,y) = (32.1555,11.2521)
93:(x,y) = (30.9785,12.8691)
94:(x,y) = (30.8427,10.8737)
95:(x,y) = (32.0685,12.4541)
96:(x,y) = (30.1732,11.8153)
97:(x,y) = (28.7917,13.2615)
98:(x,y) = (28.2085,15.1746)
99:(x,y) = (26.6752,16.4587)
100:(x,y) = (24.702,16.7848)
101:(x,y) = (25.29,18.6964)
102:(x,y) = (23.3947,18.0577)
103:(x,y) = (24.1712,16.2146)
104:(x,y) = (25.508,14.727)
105:(x,y) = (27.4839,15.0368)
106:(x,y) = (26.9116,13.1204)
107:(x,y) = (28.9072,13.2537)
108:(x,y) = (29.6626,15.1055)
109:(x,y) = (28.9533,16.9755)
110:(x,y) = (30.4468,15.6453)
111:(x,y) = (30.3326,17.642)
112:(x,y) = (32.0826,16.6737)
113:(x,y) = (33.1728,14.997)
114:(x,y) = (34.964,14.1073)
115:(x,y) = (35.6887,15.9714)
116:(x,y) = (36.8882,14.371)
117:(x,y) = (34.9169,14.0336)
118:(x,y) = (34.2601,12.1445)
119:(x,y) = (35.7828,10.8478)
120:(x,y) = (33.8463,11.3479)
121:(x,y) = (35.2075,12.8132)
122:(x,y) = (36.9519,13.7915)
123:(x,y) = (38.3768,15.1949)
124:(x,y) = (36.7421,14.0427)
125:(x,y) = (38.5428,14.9129)
126:(x,y) = (39.3193,13.0697)
127:(x,y) = (37.9141,11.6466)
128:(x,y) = (38.5865,13.5302)
129:(x,y) = (40.0423,14.9016)
130:(x,y) = (42.0107,15.2553)
131:(x,y) = (42.9768,17.0064)
132:(x,y) = (41.6947,18.5414)
133:(x,y) = (43.023,20.0366)
134:(x,y) = (45.0053,20.3025)
135:(x,y) = (46.9929,20.5243)
After 135 steps,the subject has the following location:
(x,y) = (46.9929,20.5243)
or
(m,a) = (51.2795,18.5302)
Average outward distance per step = 0.379848


