Target Distance £º50,Step Size:2
1:(x,y) = (1.26939,-1.54553)
2:(x,y) = (-0.365357,-2.69775)
3:(x,y) = (-1.95425,-1.48308)
4:(x,y) = (-3.56973,-0.30401)
5:(x,y) = (-2.89735,1.57958)
6:(x,y) = (-1.44941,2.95924)
7:(x,y) = (-1.27442,0.966914)
8:(x,y) = (-3.20801,0.455832)
9:(x,y) = (-1.60914,1.65734)
10:(x,y) = (-0.464169,3.29717)
11:(x,y) = (-0.993669,1.36853)
12:(x,y) = (0.687891,0.285779)
13:(x,y) = (2.33856,1.41506)
14:(x,y) = (3.44682,3.07993)
15:(x,y) = (3.28828,5.07363)
16:(x,y) = (4.21522,6.84586)
17:(x,y) = (5.55202,5.35825)
18:(x,y) = (6.94543,6.79297)
19:(x,y) = (8.40122,8.16435)
20:(x,y) = (10.3987,8.26461)
21:(x,y) = (12.3943,8.39784)
22:(x,y) = (14.1752,9.30784)
23:(x,y) = (13.4246,11.1616)
24:(x,y) = (14.2011,9.3185)
25:(x,y) = (12.9534,10.8816)
26:(x,y) = (13.337,12.8445)
27:(x,y) = (15.2574,12.2856)
28:(x,y) = (16.9327,13.378)
29:(x,y) = (18.5316,14.5795)
30:(x,y) = (19.6766,16.2193)
31:(x,y) = (21.577,16.8424)
32:(x,y) = (23.4845,16.241)
33:(x,y) = (25.4844,16.2524)
34:(x,y) = (24.0711,17.6675)
35:(x,y) = (23.7914,19.6479)
36:(x,y) = (25.7053,20.2286)
37:(x,y) = (23.7118,20.0675)
38:(x,y) = (21.9132,20.9423)
39:(x,y) = (20.9616,22.7014)
40:(x,y) = (19.028,22.1903)
41:(x,y) = (17.6228,20.7672)
42:(x,y) = (17.8635,22.7526)
43:(x,y) = (19.4074,24.024)
44:(x,y) = (20.8632,25.3954)
45:(x,y) = (18.9161,25.8523)
46:(x,y) = (20.791,26.5485)
47:(x,y) = (22.7615,26.206)
48:(x,y) = (22.5587,28.1957)
49:(x,y) = (22.1588,26.2361)
50:(x,y) = (20.9818,27.8531)
51:(x,y) = (22.8858,28.4653)
52:(x,y) = (23.2583,30.4303)
53:(x,y) = (21.8139,31.8137)
54:(x,y) = (19.8774,32.3138)
55:(x,y) = (18.7366,33.9565)
56:(x,y) = (20.4588,34.9733)
57:(x,y) = (21.5394,36.6563)
58:(x,y) = (23.5375,36.7451)
59:(x,y) = (23.3574,34.7532)
60:(x,y) = (21.4356,34.1993)
61:(x,y) = (22.705,32.6538)
62:(x,y) = (22.0903,30.7506)
63:(x,y) = (23.5539,29.3875)
64:(x,y) = (22.0279,28.0947)
65:(x,y) = (20.6547,26.6407)
66:(x,y) = (20.1681,24.7008)
67:(x,y) = (21.0951,26.473)
68:(x,y) = (21.6086,28.4059)
69:(x,y) = (23.1598,27.1434)
70:(x,y) = (22.5766,29.0565)
71:(x,y) = (24.4143,29.8458)
72:(x,y) = (26.18,30.7851)
73:(x,y) = (26.7254,32.7093)
74:(x,y) = (27.3978,34.5929)
75:(x,y) = (25.4434,34.1682)
76:(x,y) = (23.6259,35.0029)
77:(x,y) = (25.1117,36.3416)
78:(x,y) = (26.7933,35.2588)
79:(x,y) = (24.8944,35.8867)
80:(x,y) = (24.0621,37.7053)
81:(x,y) = (25.7553,38.7698)
82:(x,y) = (24.2805,40.1208)
83:(x,y) = (23.6974,42.0339)
84:(x,y) = (25.0257,43.5291)
After 84 steps,the subject has the following location:
(x,y) = (25.0257,43.5291)
or
(m,a) = (50.2102,47.206)
Average outward distance per step = 0.597741


Target Distance £º50,Step Size:2
1:(x,y) = (-1.79352,-0.885041)
2:(x,y) = (0.0963971,-0.230651)
3:(x,y) = (-1.56988,0.875476)
4:(x,y) = (-1.96972,-1.08415)
5:(x,y) = (0.030276,-1.08415)
6:(x,y) = (1.75828,-2.09112)
7:(x,y) = (3.56886,-2.94072)
8:(x,y) = (5.39322,-2.12114)
9:(x,y) = (7.13201,-1.13292)
10:(x,y) = (6.59152,0.792665)
11:(x,y) = (6.7994,2.78183)
12:(x,y) = (8.34331,4.05319)
13:(x,y) = (8.119,2.06581)
14:(x,y) = (8.16089,0.0662483)
15:(x,y) = (9.11698,1.82292)
16:(x,y) = (8.71713,-0.136703)
17:(x,y) = (9.38952,1.74688)
18:(x,y) = (9.23098,3.74059)
19:(x,y) = (11.2117,4.01777)
20:(x,y) = (12.1092,2.23047)
21:(x,y) = (10.2917,3.06509)
22:(x,y) = (12.1816,3.71948)
23:(x,y) = (12.6632,1.77832)
24:(x,y) = (14.5381,2.47454)
25:(x,y) = (13.3254,4.06498)
26:(x,y) = (14.0193,2.18919)
27:(x,y) = (12.6702,3.6657)
28:(x,y) = (13.2156,5.5899)
29:(x,y) = (13.5556,7.5608)
30:(x,y) = (15.4595,8.17303)
31:(x,y) = (17.2095,7.2047)
32:(x,y) = (18.7173,8.51867)
33:(x,y) = (19.6834,10.2699)
34:(x,y) = (21.3152,9.11347)
35:(x,y) = (23.1699,9.86177)
36:(x,y) = (24.827,8.74192)
37:(x,y) = (26.5714,9.72021)
38:(x,y) = (27.3887,7.8948)
39:(x,y) = (28.3447,9.65148)
40:(x,y) = (27.177,8.0278)
41:(x,y) = (27.7868,6.12303)
42:(x,y) = (27.4744,4.14757)
43:(x,y) = (26.8489,6.04724)
44:(x,y) = (24.9798,6.75893)
45:(x,y) = (23.5746,5.33577)
46:(x,y) = (24.6456,7.02485)
47:(x,y) = (26.6232,6.72627)
48:(x,y) = (26.2557,8.69223)
49:(x,y) = (24.6144,9.83511)
50:(x,y) = (26.5348,9.27628)
51:(x,y) = (25.1296,7.85312)
52:(x,y) = (26.1628,9.56558)
53:(x,y) = (27.7345,10.8023)
54:(x,y) = (29.6282,10.1587)
55:(x,y) = (30.8887,11.7115)
56:(x,y) = (32.7823,11.0679)
57:(x,y) = (34.7779,11.2011)
58:(x,y) = (33.7491,12.9162)
59:(x,y) = (33.5021,14.9009)
60:(x,y) = (34.0267,12.9709)
61:(x,y) = (35.7547,11.9639)
62:(x,y) = (36.7307,10.2183)
63:(x,y) = (38.5117,11.1283)
64:(x,y) = (38.5752,13.1273)
65:(x,y) = (40.1741,14.3288)
